,Name,Land,Form,Träger,Promotions_recht,Gründung,Stand
206,Pädagogische Hochschule Heidelberg,BW,PH,staatlich,ja,1904,2016/17 (WS)
207,Ruprecht-Karls-Universität Heidelberg,BW,Uni,staatlich,ja,1386,2017/18 (WS)
208,SRH Hochschule Heidelberg,BW,FH,privat,nein,1972,2012/13 (WS)
209,Hochschule Heilbronn,BW,FH,staatlich,nein,1961,2012/13 (WS)
210,German Graduate School of Management and Law (Heilbronn),BW,FH,privat,nein,2005,2012/13 (WS)
211,Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen (Herford),NW,FH,konfessionell,nein,1948,2012/13 (WS)
212,Fachhochschule für Interkulturelle Theologie Hermannsburg,NI,FH,konfessionell,nein,2012,2012/13 (WS)
213,Norddeutsche Hochschule für Rechtspflege (Hildesheim),NI,FH,staatlich,nein,2007,2012/13 (WS)
214,Universität Hildesheim,NI,Uni,staatlich,ja,1946,2018/19 (WS)
215,Hochschule Hildesheim/Holzminden/Göttingen,NI,FH,staatlich,nein,1971,2012/13 (WS)
216,Hochschule für Angewandte Wissenschaften Hof,BY,FH,staatlich,nein,1994,2012/13 (WS)
217,Hochschule Fresenius (Idstein),HE,FH,privat,nein,1848,2012/13 (WS)
218,Technische Universität Ilmenau,TH,Uni,staatlich,ja,1894,2018/19 (WS)
219,Technische Hochschule Ingolstadt,BY,FH,staatlich,nein,1994,2017/18 (WS)
220,"University of Applied Sciences Europe (Iserlohn, Hamburg, Berlin)",NW,FH,privat,nein,2017,2018/19 (WS)
221,Fachhochschule Südwestfalen (Iserlohn),NW,FH,staatlich,nein,2002,2016/17 (WS)
222,Naturwissenschaftlich-Technische Akademie Isny,BW,FH,privat,nein,1945,2012/13 (WS)
223,Ernst-Abbe-Hochschule Jena,TH,FH,staatlich,nein,1991,2012/13 (WS)
224,Friedrich-Schiller-Universität Jena,TH,Uni,staatlich,ja,1558,2017/18 (WS)
225,Hochschule Kaiserslautern,RP,FH,staatlich,nein,1971,2017/18 (WS)
226,Technische Universität Kaiserslautern,RP,Uni,staatlich,ja,1970,2018/19 (WS)
227,Hochschule für Musik Karlsruhe,BW,FH,staatlich,ja,1812,2016/17 (WS)
228,Hochschule Karlsruhe – Technik und Wirtschaft,BW,FH,staatlich,nein,1971,2012/13 (WS)
229,Karlshochschule International University (Karlsruhe),BW,FH,privat,nein,2004,2012/13 (WS)
230,Karlsruher Institut für Technologie,BW,Uni,staatlich,ja,1825,2019/20 (WS)
231,Pädagogische Hochschule Karlsruhe,BW,PH,staatlich,ja,1962,2016/17 (WS)
232,Staatliche Akademie der Bildenden Künste Karlsruhe,BW,FH,staatlich,ja,1854,2016/17 (WS)
233,Staatliche Hochschule für Gestaltung Karlsruhe,BW,FH,staatlich,ja,1992,2016/17 (WS)
234,CVJM-Hochschule (Kassel),HE,FH,privat,nein,2009,2012/13 (WS)
235,Kunsthochschule Kassel,HE,FH,staatlich,nein,1777,2016/17 (WS)
236,Universität Kassel,HE,Uni,staatlich,ja,1633/1970,2017/18 (WS)
237,Hochschule Kehl,BW,FH,staatlich,nein,1971,2012/13 (WS)
238,Hochschule für angewandte Wissenschaften Kempten,BY,FH,staatlich,nein,1977,2018/19 (WS)
239,Christian-Albrechts-Universität zu Kiel,SH,Uni,staatlich,ja,1665,2017/18 (WS)
240,Fachhochschule Kiel,SH,FH,staatlich,nein,1969,2014/15 (WS)
241,Muthesius Kunsthochschule (Kiel),SH,FH,staatlich,ja,2005,2012/13 (WS)
242,"Hochschule Rhein-Waal (Kleve, Kamp-Lintfort)",NW,FH,staatlich,nein,2009,2014/15 (WS)
243,Hochschule Koblenz,RP,FH,staatlich,nein,1996,2017/18 (WS)
244,Universität Koblenz-Landau,RP,Uni,staatlich,ja,1990,2018/19 (WS)
245,"Hochschule Konstanz Technik, Wirtschaft und Gestaltung",BW,FH,staatlich,nein,1906,2012/13 (WS)
246,Universität Konstanz,BW,Uni,staatlich,ja,1966,2016/17 (WS)
247,Cologne Business School (Köln),NW,FH,privat,nein,1993,2012/13 (WS)
248,Deutsche Sporthochschule Köln,NW,Uni,staatlich,ja,1947,2018 (SS)
249,Technische Hochschule Köln,NW,FH,staatlich,nein,1971,2015 (SS)
250,Hochschule für Musik und Tanz Köln,NW,FH,staatlich,ja,1850,2012/13 (WS)
251,"Katholische Hochschule Nordrhein-Westfalen (Köln, Münster, Paderborn, Aachen)",NW,FH,konfessionell,nein,1971,2012/13 (WS)
252,Kunsthochschule für Medien Köln,NW,FH,staatlich,ja,1990,2012/13 (WS)
253,Universität zu Köln,NW,Uni,staatlich,ja,1388/1919,2019/20 (WS)
254,Rheinische Fachhochschule Köln,NW,FH,privat,nein,1971 (1958),2012/13 (WS)
255,Fachhochschule für Finanzen Brandenburg (Königs Wusterhausen),BB,FH,staatlich,nein,1991,2012/13 (WS)
256,Allensbach Hochschule (Konstanz),BW,FH,privat,nein,1996,2014/15 (WS)
257,Hochschule für angewandte Wissenschaften Landshut,BY,FH,staatlich,nein,1978,2016/17 (WS)
258,Handelshochschule Leipzig,SN,Uni,privat,ja,1898,2012/13 (WS)
259,Hochschule für Grafik und Buchkunst Leipzig,SN,FH,staatlich,ja,1764,2012/13 (WS)
260,Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig,SN,FH,staatlich,ja,1843,2012/13 (WS)
261,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",SN,FH,staatlich,nein,1992,2012/13 (WS)
262,Hochschule für Telekommunikation Leipzig,SN,FH,privat,nein,1991,2012/13 (WS)
263,Universität Leipzig,SN,Uni,staatlich,ja,1409,2017/18 (WS)
264,Technische Hochschule Ostwestfalen-Lippe (Lemgo),NW,FH,staatlich,nein,1971,2012/13 (WS)
265,Internationale Hochschule Liebenzell,BW,FH,konfessionell,nein,2011,2012/13 (WS)
